Region,Country,Item_Type,Order_ID,Units_Sold,Unit_Price,Total_Revenue
Sub-Saharan Africa,South Africa,Fruits,443368995,1593,9.33,14862.69
Middle East and North Africa,Morocco,Clothes,667593514,4611,109.28,503890.08
Australia and Oceania,Papua New Guinea,Meat,940995585,360,421.89,151880.4
Sub-Saharan Africa,Djibouti,Clothes,880811536,562,109.28,61415.36
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
Europe,Slovakia,Beverages,174590194,3973,47.45,188518.85
